wid,cleaned_hm,age,gender,marital,parenthood
1,My wife and i are celebrating our ten year anniversary today.,37,m,married,y
2,I was happy when my son got 90% marks in his examination ,29,m,married,y
3,YESTERDAY MY MOMS BIRTHDAY SO I ENJOYED,25,m,single,n
4,I received an award for my work on a tough loan process that I helped develop.,32,m,married,y
5,I was able to play my video game that I enjoy the most quite a bit and that made me relaxed and happy.,29,m,married,y
6,Last month i opened a online trading brokerage firm with my partner and i was very happy that we were running this business successfully and satisfied.,35,m,married,y
7,"I made an amazing dinner of garlic and butter noodles.  It had the perfect amount of salt, butter, and Parmesan cheese.  It made my mouth really happy.  ",34,m,married,y
8,I was shorting Gold and made $200 from the trade.,29,m,single,n
9,I went grocery shopping to purchase food to cook for my wife and myself. ,61,f,married,y
10,I went to the gym almost everyday this month. My goal is to go at least 5 times a week and spend at least 40 minutes lifting weights or doing cardio. I feel great when I achieve my goal.,27,m,single,n
11,I have begun looking for a home to buy and feel some hope for the future. ,45,m,divorced,n
12,My boyfriend took me on a romantic date.,25,f,single,n
13,Yesterday night I went for a movie with my family.We had great fun spending time together.,45,m,married,y
14,A hot kiss with my girl friend last night made my day,25,m,married,y
15,Last night my sister born a baby and I got new relation which is UNCLE this is happiest moment for me.,27,m,married,y
16,I had a wonderful meal with my girl,35,m,single,n
17,My dog finally learn to catch the ball tonight. ,30,m,single,n
18,My sore throat cleared up.,30,m,single,n
19,I went on a romantic date with my girlfriend.,29,m,married,n
20,This morning I finally re-potted a plant that has been stinking up my house for weeks.,40,m,married,y
21,went to movies with my friends it was fun ,29,m,single,y
22,"I got a ten dollar bonus from a requester on Mechanical Turk, and I didn't even remember doing the HIT.",32,m,single,n
23,I got my new job which is more good and I was very happy.,27,m,single,n
24,We all ladies member from my family went for a lunch at seven star hotel n it was so much fun when all ladies go together n gossip ,35,f,single,n
25,I woke up early in the morning at 7 am against daily of 8:30 am,32,m,married,y
26,my daughter came first in her sports race . i was feeling proud,31,f,married,y
27,My wife gave birth to a baby boy and this made me happy.,28,m,married,y
28,I was able to make some time for playing a video game that I haven't gotten around to for a while.,36,m,married,y
29,I paid off one of my credit cards.,44,m,single,n
30,"I got a lot of hours at work yesterday, which is good, because we need the money.",37,m,married,y
31,My husband gave me a massage the other day.,31,f,married,n
32,I'm happy I could manage to meet my daily work targets even on my holiday.,45,f,married,y
33,my son adopted a kitten.,44,m,married,y
34,I played a few hours of video games with my closest friends.,23,m,single,n
35,Going for some running and exercising after three days break.,26,m,single,n
36,I achieved my daily income goal.,37,m,single,n
37,I was able to do 150 push-ups today which is the highest I've done. ,23,m,single,n
38,I saw that girl I loved very much at Mui Ne Bay. That face I loved and I missed very much,26,m,single,y
39,Last month i received a increment in my job and i was happy and i took my family for outing and had dinner with my family and i really enjoyed  very  much.,36,m,married,y
40,Yes. Last month we have went Singapore for family trip. Yes we enjoyed lot and visited many places and had different foods. Lot of sea foods. Especially me and my brother likes fishes very mush. So we had lot of fishes. Really unforgettable movements of my life. ,28,m,single,n
41,Seeing my sister today after her being away for 3 months in college.,26,m,single,n
42,I was able to watch my favorite television program this evening and did so uninterrupted.,32,m,single,n
43,I found a great deal on a radio that I've been wanting for a while.,36,m,married,y
44,I found and ordered a book online that I will like a lot.,42,f,single,n
45,I meditated last night.,23,m,single,n
46,"I received a large, unexpected bonus from a Mturk requester earlier today, which is great because every little bit helps! ",29,m,single,n
47,I was able to run for 5 miles. This is the most I have ever done.,41,m,married,n
48,I got some great pictures of the bluebirds building a nest in the back yard.,57,f,married,n
49,The New York Knicks actually played well and won a game.,35,m,married,n
50,i brought a new mobile to day morning,30,m,single,y
51,"I got promoted as Senior Manager yesterday, i am more than happy.",30,m,single,n
52,I saw a man eating potato,29,m,married,y
53,"Happiness is a mental or emotional state of well-being defined by positive or pleasant emotions ranging from contentment to intense joy.[1] Happy mental states may also reflect judgements by a person about their overall well-being.[2] A variety of biological, psychological, economic, religious and philosophical approaches have striven to define happiness and identify its sources. Various research groups, including positive psychology and happiness economics are employing the scientific method to research questions about what ""happiness"" is, and how it might be attained.",32,m,married,y
54,After a long time my brother gave a suprise visit to my house yesterday.,29,f,married,y
55,i was working on a problem from the morning when i found the solution for the problem i was very happy there is no words to describe my feelings,26,m,married,y
56,"I would like to talk about the event that I can still remember vividly regarding my success in the board exam. The moment I heard that I had been awarded a scholarship based on my performance in the board exam, I became the happiest man in the world. ",24,f,single,n
57,I cooked my girlfriend a wonderful breakfast.,34,m,single,n
58,im a pilot and a flew today,38,m,married,n
59,"I went to Laughlin, Nevada and had a very good time with a couple friends.",43,m,single,n
60,I got to see my girlfriend and help her celebrate her birthday,29,m,single,n
61,"Actually two weeks back, I was verymuch successfully in flying a paper kite into the sky after attempting manytimes and failing, so finally i did it and crossed that barrier and i was very much happy.",29,m,single,n
62,I got a pet as gift from my parents,3,m,single,n
63,I bought a new pair of headphones!,25,m,single,n
64,"My friend, Sheryl came over to visit me and my puppy. ",48,f,married,y
65,"last night I met my friend at the restaurant, I gave my friend a present and a birthday card, we ordered some food, while we ate dinner everyone chatted, after the main course the waiter brought out a cake and we sang 'Happy Birthday', everyone went home quite late.",30,m,single,n
66,I got a burger for lunch and it was cooked perfectly because it wasn't too rare or too well-done.,41,f,single,n
67,I saw on the news that the former national security advisor was asking for immunity and could flip on Trump,44,m,married,y
68,my dog came home after disappearing on me for a full hour.,37,m,single,y
69,I met with my city mayor and given valuable advice for development of city.,23,m,married,y
70,Toady my birthday but I am not happy every year we are celebrating very happy but this I can't happy,28,f,married,y
71,10 days ago i went tour with my friends it was very funny moment,26,m,single,y
72,A made quite the progress on an old rusty workbench I am restoring at the moment. With the new paint it looks like new.,25,m,single,y
73,My son told me this morning that I was his best friend. ,38,f,married,y
74,"They feel validated by stories in which a human believed a computer was wrong, ignored the computer's advice, turned out to be right, and got a happy ending instead of the ominous ""what if ..."" of heeding the computer.",27,f,married,y
75," i went to a tour with my family and the journey was very happy for me.Dream a happy journey build from many happy moments, because in the real world only a happy journey brings a happy ending. In reality, a happy moment attracts another happy moment, which attracts another happy moment, and then another happy moment. Suddenly, you are surrounded by an abundance of happy moments, in only one day. And, at the end, when you think about it, you discover you had a happy life.",25,m,married,y
76,I went to sports club and did running and exercise that's why I feel very fresh and happy.,29,m,married,y
77,My mom called me up to check up on me.,29,m,single,n
78,I completed my 5 miles run without break. It makes me feel strong.,28,f,married,y
79,I played pokemon go with my friends.,27,m,single,n
80,"I finished a backlog of paperwork at work, with help. ",23,o,single,n
81,TO DAY MORNING I TRAINED MY NEIGHBOR CHILD TO RUN CYCLE. I ENJOYED A LOT ,30,m,single,y
82,"I was able to reduce my errands today, visiting less places with the same amount of effectiveness.",53,f,single,n
83,My favorite NBA team (Chicago) won an exciting game yesterday evening against the Cavaliers and that made me happy.,30,m,single,n
84,Pirates Of The Caribbean 3 was on TV and I forgot how much I enjoyed the movie. ,32,m,married,y
85,Lying in the bed listening to the rain outside. Listening to old songs and being able to member all the lyrics.,23,f,single,n
86,I was able to do a full hour of research on a topic that had been nagging me. ,27,m,single,n
87,I had a relaxing morning at starbucks. ,36,f,single,n
88,I was walking my dog with my kids to the park.  I was very happy enjoying the weather and the outdoors with the kids.,46,f,married,y
89,What made me happy today was the sun coming out. It had been raining for days on end and finally there were the beautiful sunshine.,36,f,single,n
90,"Happiness is a mental or emotional state of well-being defined by positive or pleasant emotions ranging from contentment to intense joy.[1] Happy mental states may also reflect judgements by a person about their overall well-being.[2] A variety of biological, psychological, economic, religious and philosophical approaches have striven to define happiness and identify its sources. Various research groups, including positive psychology and happiness economics are employing the scientific method to research questions about what ""happiness"" is, and how it might be attained.",32,m,married,y
91,I made a big dinner with my girlfriend last evening.,29,m,single,n
